rank,nome,avaliacao
577,Triumph & Tragedy: European Balance of Power 1936-1945,8.15
578,Imperial Struggle,8.32
579,Aquatica,7.42
580,Thebes,7.13
581,Cooper Island,7.63
582,Star Trek: Ascendancy,7.82
583,Mare Nostrum: Empires,7.55
584,The Battle of Five Armies,7.88
585,KeyForge: Call of the Archons,7.17
586,Snowdonia,7.35
587,Zombicide: Green Horde,7.74
588,Formula D,7.01
589,The Republic of Rome,7.54
590,Betrayal at House on the Hill,7.04
591,Unlock!: Heroic Adventures,7.67
592,SCOUT,7.70
593,Time's Up!,7.29
594,Taluva,7.15
595,One Night Ultimate Werewolf: Daybreak,7.33
596,Pax Renaissance,8.01
597,Magic Maze,6.99
598,Coloretto,6.98
599,Trains,7.14
600,Medici,7.16
601,Earth Reborn,7.63
602,Cartographers Heroes,7.92
603,Fort,7.21
604,Cuba Libre,7.69
605,Summoner Wars,7.24
606,The Downfall of Pompeii,7.15
607,Shakespeare,7.43
608,Mr. Jack,6.99
609,Lord of the Rings: The Confrontation,7.20
610,Crusaders: Thy Will Be Done,7.50
611,6 nimmt!,6.94
612,Undaunted: North Africa,7.87
613,Belfort,7.22
614,HeroQuest,7.16
615,Kingdom Builder,6.95
616,Cacao,7.09
617,Dixit: Journey,7.40
618,Cuba,7.13
619,Shadows of Brimstone: Swamps of Death,8.03
620,Elder Sign,6.97
621,Luna,7.30
622,Whitehall Mystery,7.56
623,Between Two Castles of Mad King Ludwig,7.27
624,Escape: The Curse of the Temple,6.98
625,Torres,7.10
626,Exit: The Game – The Pharaoh's Tomb,7.19
627,Disney Villainous: Wicked to the Core,7.61
628,Dead Reckoning,8.32
629,Myrmes,7.27
630,Smash Up: Awesome Level 9000,7.23
631,Shards of Infinity,7.51
632,Fury of Dracula (Second Edition),7.11
633,Feudum,7.64
634,Yamataï,7.21
635,Tokaido,6.96
636,Thunderstone Advance: Towers of Ruin,7.35
637,D-Day at Omaha Beach,8.29
638,ZhanGuo,7.57
639,Defenders of the Realm,7.28
640,Telestrations: 12 Player Party Pack,7.75
641,Specter Ops,7.20
642,Leaving Earth,7.75
643,Civilization: A New Dawn,7.28
644,Arkwright,7.83
645,The Oracle of Delphi,7.29
646,Prêt-à-Porter,7.36
647,IKI,7.72
648,Treasure Island,7.26
649,Wir sind das Volk!,7.83
650,Unfathomable,7.70
651,QE,7.42
652,Mexica,7.24
653,Tash-Kalar: Arena of Legends,7.17
654,Planet Unknown,7.98
655,Steampunk Rally,7.19
656,Ascension: Deckbuilding Game,7.03
657,Warhammer Quest: The Adventure Card Game,7.33
658,A Fake Artist Goes to New York,7.16
659,Love Letter: Batman,7.27
660,Cribbage,7.08
661,AuZtralia,7.39
662,Churchill,7.67
663,Bus,7.58
664,Onirim (Second Edition),7.06
665,Dragon Castle,7.15
666,Wallenstein,7.47
667,Vegas Showdown,7.16
668,The Networks,7.18
669,Century: A New World,7.38
670,Carcassonne: The Castle,7.10
671,BANG! The Dice Game,6.92
672,My Little Scythe,7.29
673,Merv: The Heart of the Silk Road,7.60
674,Villagers,7.23
675,Century: Eastern Wonders,7.16
676,Disney Villainous: Evil Comes Prepared,7.61
677,K2,7.03
678,Advanced Squad Leader: Starter Kit #1,7.84
679,Disney Villainous,7.02
680,Ashes Reborn: Rise of the Phoenixborn,7.28
681,Space Hulk: Death Angel – The Card Game,7.00
682,City of the Big Shoulders,7.81
683,Yspahan,7.07
684,Imperium: Legends,7.91
685,Oh My Goods!,7.00
686,Middle-Earth Quest,7.39
687,Between Two Cities,7.00
688,Shipyard,7.35
689,Diplomacy,7.04
690,Coal Baron,7.28
691,The Estates,7.44
692,Etherfields,8.03
693,Eminent Domain,7.00
694,New Frontiers,7.47
695,Wits & Wagers,6.93
696,Up Front,7.88
697,Trismegistus: The Ultimate Formula,7.62
698,Empires: Age of Discovery,7.86
699,Space Hulk,7.48
700,Reef,7.05
701,Chronicles of Crime: 1400,7.83
702,CO₂: Second Chance,7.59
703,Yellow & Yangtze,7.86
704,Trails of Tucana,7.43
705,Cry Havoc,7.16
706,Arcadia Quest: Inferno,7.92
707,Splendor: Marvel,7.64
708,Ex Libris,7.16
709,Caverna: Cave vs Cave,7.14
710,Kanagawa,7.06
711,The Duke,7.35
712,Warhammer: Invasion,7.23
713,Saint Petersburg (Second Edition),7.48
714,Super Motherload,7.37
715,MicroMacro: Crime City – Full House,7.79
716,Blue Moon City,7.04
717,Crystal Palace,7.55
718,Vast: The Crystal Caverns,7.15
719,World Without End,7.24
720,The Magnificent,7.57
721,Zombicide Season 2: Prison Outbreak,7.37
722,Black Angel,7.32
723,Marvel United: X-Men,8.26
724,878 Vikings: Invasions of England,7.53
725,Deep Sea Adventure,6.94
726,Foundations of Rome,8.08
727,1989: Dawn of Freedom,7.80
728,Rhino Hero: Super Battle,7.26
729,Whistle Mountain,7.70
730,Detective: City of Angels,7.93
731,Exit: The Game – The Secret Lab,7.08
732,King of New York,6.92
733,Finca,7.06
734,Blokus,6.86
735,"Heroes of Land, Air & Sea",7.63
736,Star Trek: Fleet Captains,7.49
737,Dogs of War,7.52
738,Among the Stars,7.05
739,Panamax,7.31
740,Empire of the Sun,8.26
741,FUSE,7.03
742,Ticket to Ride: Rails & Sails,7.42
743,Railroad Ink: Blazing Red Edition,7.13
744,Squad Leader,7.53
745,New York Zoo,7.18
746,Dungeons & Dragons: The Legend of Drizzt Board Game,7.23
747,Zombicide: 2nd Edition,8.08
748,The Bloody Inn,7.04
749,Perudo,6.91
750,The Shipwreck Arcana,7.49
751,Lords of Xidit,7.11
752,Ricochet Robots,7.02
753,Sub Terra,7.38
754,Crown of Emara,7.43
755,The Great Wall,7.87
756,Tribune: Primus Inter Pares,7.22
757,Project: ELITE,8.04
758,Jambo,7.00
759,Tang Garden,7.44
760,Yedo,7.37
761,Fugitive,7.19
762,Vasco da Gama,7.23
763,Washington's War,7.62
764,Unlock!: Timeless Adventures,7.82
765,Outlive,7.32
766,The Pursuit of Happiness,7.18
767,Summoner Wars: Alliances Master Set,8.07
768,Can't Stop,6.87
769,One Deck Dungeon,7.00
770,Menara,7.46
771,Red7,6.89
772,Not Alone,6.99
773,XCOM: The Board Game,7.02
774,"13 Days: The Cuban Missile Crisis, 1962",7.25
775,Bloodborne: The Board Game,7.91
776,Reef Encounter,7.14
777,Dice Hospital,7.16
778,Gentes,7.43
779,Combat Commander: Pacific,8.12
780,ZÈRTZ,7.27
781,Scoville,7.14
782,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50
783,Napoleon's Triumph,7.99
784,Celestia,6.96
785,Star Wars: The Card Game,7.18
786,Pandemic: Rising Tide,7.59
787,Unmatched: Little Red Riding Hood vs. Beowulf,8.32
788,Friedrich,7.57
789,Tammany Hall,7.29
790,The Mind,6.82
791,Incan Gold,6.82
792,Dale of Merchants,7.19
793,Spyfall,6.82
794,Spyrium,7.05
795,Marvel Dice Masters: Avengers vs. X-Men,7.13
796,Unfair,7.33
797,Blood on the Clocktower,8.21
798,Carcassonne: The City,7.21
799,Tumblin-Dice,7.21
800,Tajemnicze Domostwo,7.14
801,Tinners' Trail,7.24
802,Wizard,6.95
803,Hyperborea,7.19
804,Union Pacific,7.21
805,Cerebria: The Inside World,7.78
806,Brew Crafters,7.43
807,Dinosaur Island: Rawr 'n Write,7.85
808,Morels,6.99
809,Catacombs (Third Edition),7.52
810,Ca$h 'n Guns: Second Edition,6.86
811,Santiago,7.12
812,Forbidden Island,6.78
813,Rhino Hero,6.93
814,Thunderstone,6.92
815,The Palaces of Carrara,7.15
816,Warhammer Underworlds: Shadespire,7.69
817,Blue Lagoon,7.20
818,Libertalia: Winds of Galecrest,7.56
819,Hannibal & Hamilcar,8.32
820,SpaceCorp: 2025-2300AD,7.70
821,San Marco,7.18
822,The Lost Expedition,7.06
823,Rurik: Dawn of Kiev,7.83
824,Letter Jam,7.23
825,Roll Through the Ages: The Bronze Age,6.86
826,Signorie,7.41
827,Virgin Queen,8.04
828,Container,7.15
829,Paris: La Cité de la Lumière,7.37
830,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.51
831,Last Night on Earth: The Zombie Game,6.92
832,Akrotiri,7.20
833,Pictomania,7.27
834,Red Rising,7.11
835,Formula Dé,6.99
836,Homesteaders,7.20
837,Golem,7.67
838,Disney Villainous: Perfectly Wretched,7.74
839,Battle for Rokugan,7.44
840,Qwixx,6.87
841,Genoa,7.06
842,Legendary: A Marvel Deck Building Game – Villains,7.55
843,Bridge,7.45
844,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.93
845,Parade,6.99
846,Kitchen Rush,7.28
847,Maharaja: The Game of Palace Building in India,7.11
848,Galaxy Trucker,7.63
849,Last Bastion,7.53
850,Mahjong,7.03
851,Lanterns: The Harvest Festival,6.89
852,Wasteland Express Delivery Service,7.37
853,Heroscape Master Set: Swarm of the Marro,7.63
854,Raccoon Tycoon,7.34
855,Palm Island,7.13
856,Louis XIV,7.06
857,Call to Adventure,7.15
858,Jaws,7.18
859,Thunder Alley,7.31
860,Adrenaline,7.02
861,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.11
862,Core Worlds,7.16
863,Tragedy Looper,7.18
864,Summoner Wars: Guild Dwarves vs Cave Goblins,7.57
